year_month,days,da_revenue,wd_revenue,anc_revenue,total_net,throughput,da_revenue_gbp_mw_yr,wd_revenue_gbp_mw_yr,anc_revenue_gbp_mw_yr,total_net_gbp_mw_yr
2024-04,30,131401.94,382298.86,15956.9,529657.74,19942.36,15998.186195000002,46544.886204999995,1942.752575,64485.829845
2024-05,31,31721.839999999997,330200.36,10567.7,372489.86,17922.85,3737.549051612903,38905.05854516129,1245.113685483871,43887.71656935484
2024-06,30,98069.86,401416.24,14725.1,514211.17,18567.48,11940.005455,48872.42722,1792.780925,62605.20994749999
2024-07,31,29982.27,360707.22,10450.7,401140.26,18500.29,3532.588425,42499.45551774193,1231.3284435483872,47263.38063387096
2024-08,31,136701.72,361730.53,11744.2,510176.45,19541.63,16106.549429032259,42620.02454274194,1383.7319516129035,60110.305923387095
2024-09,30,62922.65,380901.4,12323.5,456147.58,18677.0,7660.8326375,46374.74545,1500.3861250000002,55535.967865
2024-10,31,131874.39,341760.81,31751.2,505386.4,18401.82,15537.780950806455,40267.14059758064,3741.008322580645,59545.92987096775
2024-11,30,31783.809999999998,334849.21,84443.7,451076.74,17446.04,3869.6788675000003,40767.891317500005,10281.020475,54918.593095
2024-12,31,140228.8,377452.77999999997,218960.4,736642.03,19211.78,16522.119096774193,44472.46061129032,25798.47938709677,86793.06498629032
2025-01,31,210007.82,367914.97,242423.6,820346.45,17619.19,24743.663308064515,43348.6912233871,28562.97416129032,96655.33576209677
2025-02,28,47002.85,314728.45,240841.69999999998,602573.0,16003.49,6131.353915178572,41055.20227232143,31416.939616071428,78603.49580357142
2025-03,31,86630.09,321364.14999999997,244118.7,652112.9,18669.11,10206.98076532258,37863.9534798387,28762.695217741933,76833.62475
2025-04,30,122798.65000000001,362750.82,90878.7,576428.17,18812.7,14950.735637499998,44164.912335,11064.481724999998,70180.1296975
2025-05,31,76914.24,353045.61,86742.9,516702.73,19991.77,9062.234245161291,41596.74485564516,10220.27233064516,60879.24907499999
2025-06,30,172822.12,389312.58,83715.2,645849.91,18888.23,21041.09311,47398.806615,10192.325599999998,78632.2265425
2025-07,31,29842.630000000005,336338.33,71502.9,437683.87,18190.86,3516.13567983871,39628.25001048387,8424.656201612903,51569.04307016129
2025-08,31,90461.48999999999,324855.91,58756.0,474073.41,18424.41,10658.40620080645,38275.361654032255,6922.783548387097,55856.55258145161
2025-09,30,137072.91,348171.25,65419.6,550663.74,20220.42,16688.6267925,42389.8496875,7964.8363,67043.31034499999
2025-10,31,146995.84,313478.79,99950.2,560424.87,19012.87,17319.429212903226,36934.880015322575,11776.3905,66030.70444112904
2025-11,30,38469.450000000004,324793.06,154832.3,518094.85,17661.89,4683.655537500001,39543.555055,18850.832524999998,63078.04798749999
2025-12,31,17318.02,263087.86,110055.4,390461.27,18347.94,2040.4538080645164,30997.690601612903,12967.011241935481,46005.1544733871
2026-01,31,39258.22,274758.19,108565.09999999999,422581.5,17486.010000000002,4625.504791935484,32372.71899919355,12791.420249999997,49789.64286290322
2026-02,28,22797.82,217317.41999999998,71275.6,311390.84,15629.98,2973.894198214286,28348.28130535714,9297.647464285716,40619.822967857144
2026-03,31,158738.58,297010.67,125016.9,580766.15,17755.42,18702.989143548384,34994.56361854839,14729.813782258063,68427.36654435484
2026-04,25,149778.14,264033.8,53486.7,467298.65,15545.39,21882.586254,38575.33818,7814.406869999999,68272.332765
