key,component,duration_h,mean_m,std_m,p25_m,p75_m,pct_of_gross
hpfc,HPFC anchor,1.0,-0.6844509961746287,0.08688308756318296,-0.7454809287134969,-0.6320681072508154,-9.085988873057907
da_surp,DA surprise,1.0,-0.05173940704199196,0.09765512576232595,-0.10121114700235642,0.009062187697867444,-0.686833212764018
imbalance,WD/intraday,1.0,9.389244105389404,1.3548295982520941,8.443090024135603,10.245971890546723,124.64086975516183
dc,DC ancillary,1.0,0.5086869403055354,0.11162834534687918,0.4239285680808786,0.5770579597387235,6.752746223349411
qr,QR ancillary,1.0,0.32319053268461,0.04675884285095909,0.28997054287592755,0.35234083897248913,4.290307999056243
costs,Costs (deg+VOM),1.0,-0.975946578273701,0.09155920302820936,-1.0354007250621495,-0.9156533058294453,-12.95555094587279
hpfc,HPFC anchor,2.0,-0.46587454141035034,0.07278738032784356,-0.519171352379839,-0.41717391471320503,-6.249305141922238
da_surp,DA surprise,2.0,-0.009723811850799654,0.09044668166626882,-0.05387241183596348,0.03961821770664768,-0.13043654889216622
imbalance,WD/intraday,2.0,8.407925783461545,1.2305135220618943,7.589851157916355,9.148796205721709,112.78507229096557
dc,DC ancillary,2.0,0.6137594940122187,0.13530577400267346,0.5201633846436748,0.6991454489795662,8.233054225763569
qr,QR ancillary,2.0,0.7230506586244622,0.03582407536435307,0.7044334258216451,0.7493145265175805,9.699100932051323
costs,Costs (deg+VOM),2.0,-0.9071580567024301,0.080825532895726,-0.9625920798580366,-0.8533534356612889,-12.168742878983023
hpfc,HPFC anchor,3.0,-0.28142628126530816,0.08874781987982865,-0.33782167805751995,-0.22058186816804437,-4.219064678354797
da_surp,DA surprise,3.0,0.024966278287144383,0.08909760675728323,-0.014075653445319792,0.06875404830464901,0.37428751287078843
imbalance,WD/intraday,3.0,7.757154407351252,1.2105380396092786,6.974151079656654,8.489038764189026,116.29310531146305
dc,DC ancillary,3.0,0.6097819157026814,0.13069983993250098,0.5167164642314596,0.6983374783870275,9.14168119080301
qr,QR ancillary,3.0,0.27846612126826337,0.05084591149047884,0.2476944946420373,0.31147133518490167,4.174686781487244
costs,Costs (deg+VOM),3.0,-0.8592973999301998,0.08038781012033984,-0.908922267071659,-0.8095734485917844,-12.882348059134639
hpfc,HPFC anchor,4.0,-0.20848724488986914,0.10254955227836851,-0.2770196143448792,-0.13617184971231594,-3.227004022938217
da_surp,DA surprise,4.0,0.035516478403562805,0.08580744787083586,0.0053004715271827586,0.08432571955747883,0.5497306022219143
imbalance,WD/intraday,4.0,7.219446764488644,1.207555887021208,6.4320941577103765,7.9335858824364465,111.74392833815617
dc,DC ancillary,4.0,0.634289018415125,0.14388528053030847,0.5331465655404869,0.7300882966771421,9.817642394441764
qr,QR ancillary,4.0,0.3693274363279196,0.06558992726000307,0.3294849750372489,0.4136651604419213,5.716518166093182
costs,Costs (deg+VOM),4.0,-0.7946931898115603,0.08236185532990839,-0.8498740362487837,-0.7429386646759029,-12.300407738987408
